date,ticker,entry_time,exit_time,exit_reason,entry_price,stop_price,target_price,exit_price,gap,opening_range_pct,gross_return,net_return,position_size_sek,pnl_sek,equity_after_trade
2026-04-10,ALFA.ST,2026-04-10 09:35:00,2026-04-10 17:25:00,close,548.5999755859375,543.5999755859375,553.5999755859375,548.4000244140625,0.004428089324838513,0.008830112295260983,-0.00036447535685990573,-0.0008644753568599057,2000.0,-1.7289507137198115,9998.27104928628
2026-04-10,SHB-A.ST,2026-04-10 09:35:00,2026-04-10 12:40:00,target,128.1999969482422,127.4000015258789,128.99999237060547,128.99999237060547,0.004728120306592309,0.006279398844440287,0.006240214051535853,0.005740214051535852,2000.0,11.480428103071706,10009.751477389353
2026-04-13,ALFA.ST,2026-04-13 09:40:00,2026-04-13 15:50:00,target,549.0,544.4000244140625,553.5999755859375,553.5999755859375,0.0014694852261070146,0.008817023471178187,0.008378826203893519,0.007878826203893519,2001.9502954778704,15.773018446903418,10025.524495836256
2026-04-13,SEB-A.ST,2026-04-13 09:40:00,2026-04-13 15:45:00,target,180.35000610351562,178.9499969482422,181.75001525878906,181.75001525878906,0.0011123300603315123,0.006705766799142587,0.007762734171851804,0.0072627341718518035,2001.9502954778704,14.539632821315944,10040.064128657572
2026-04-13,SHB-A.ST,2026-04-13 09:40:00,2026-04-13 17:25:00,close,128.9499969482422,127.94999694824219,129.9499969482422,129.60000610351562,0.007058775658701055,0.007034069376629315,0.005040784572754475,0.004540784572754475,2001.9502954778704,9.090425017127176,10049.1545536747
2026-04-14,SHB-A.ST,2026-04-14 09:35:00,2026-04-14 15:00:00,target,131.0,130.39999389648438,131.60000610351562,131.60000610351562,0.016744620385315434,0.004984733019155252,0.004580199263477969,0.004080199263477968,2009.83091073494,8.200510601695957,10057.355064276397
2026-04-14,ATCO-A.ST,2026-04-14 09:40:00,2026-04-14 17:25:00,close,182.75,181.0,184.5,183.35000610351562,0.02259887005649719,0.00911598837836669,0.003283207132780408,0.002783207132780408,2009.83091073494,5.593775726440029,10062.948840002837
2026-04-14,ALFA.ST,2026-04-14 09:45:00,2026-04-14 10:10:00,stop,558.7999877929688,556.7999877929688,560.7999877929688,556.7999877929688,0.02384446021447162,0.003951171435458534,-0.0035790981454727477,-0.004079098145472748,2009.83091073494,-8.198297540692698,10054.750542462143
2026-04-14,SEB-A.ST,2026-04-14 09:50:00,2026-04-14 10:20:00,target,184.25,183.64999389648438,184.85000610351562,184.85000610351562,0.02333331637912317,0.003539391107411749,0.0032564781737618453,0.0027564781737618453,2009.83091073494,5.540055038392754,10060.290597500536
2026-04-15,ATCO-A.ST,2026-04-15 09:40:00,2026-04-15 10:25:00,target,184.25,183.14999389648438,185.35000610351562,185.35000610351562,0.012983459135445408,0.006006039531387231,0.005970182380003353,0.005470182380003352,2012.0581195001073,11.006324872832167,10071.296922373369
2026-04-21,ERIC-B.ST,2026-04-21 09:55:00,2026-04-21 10:55:00,target,108.94999694824219,108.05000305175781,109.84999084472656,109.84999084472656,0.019294146369485343,0.0069412307155671815,0.008260614242255881,0.007760614242255881,2014.2593844746739,15.631890066751719,10086.928812440121
2026-04-21,SHB-A.ST,2026-04-21 10:15:00,2026-04-21 10:25:00,target,132.9499969482422,132.1999969482422,133.6999969482422,133.6999969482422,0.006454108756355437,0.004916862104981101,0.005641218632686185,0.005141218632686184,2014.2593844746739,10.355747878524198,10097.284560318645
2026-04-27,ERIC-B.ST,2026-04-27 09:40:00,2026-04-27 11:20:00,target,105.44999694824219,104.55000305175781,106.34999084472656,106.34999084472656,0.003354082215994314,0.006695331686366934,0.008534793006453212,0.008034793006453211,2019.456912063729,16.22591827388325,10113.510478592529
